num_layers,neurons,batch_size,epochs,learning_rate,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2
1,8,16,10,1e-05,62357.28838715903,63422.87217811448,62483.193329233734,0.7063995841887097,0.7072798078429673,0.7142645722658543
1,8,16,10,0.0001,63469.9653074692,63413.18460519771,63087.62311044714,0.695828342047857,0.7073692245323773,0.7087097236259059
1,8,16,10,0.001,62559.5647253493,63025.992562827116,62716.98835581617,0.7044917161125138,0.710931840041559,0.7121222841203847
1,8,16,10,0.01,63606.55977831647,64723.46533456143,63615.68469793849,0.6945177103304385,0.6951512676135878,0.7038129481986816
1,8,16,20,1e-05,60517.696750261275,61251.14226053774,61682.52407188493,0.7234669747972843,0.7269832738150213,0.7215405692909729
1,8,16,20,0.0001,60767.171129075585,61493.7046758472,61926.45478373402,0.7211823504935128,0.7248166293717715,0.7193338140892045
1,8,16,20,0.001,61706.50855618459,62717.55530882458,62638.20084229214,0.712495814646658,0.7137542065379686,0.7128451161167848
1,8,16,20,0.01,63636.030526152106,64529.72258179594,64040.96445460569,0.6942345672966206,0.6969736000259502,0.6998396074757727
1,8,16,50,1e-05,57623.46409854953,58400.32509942382,58242.96556731097,0.7492846359057381,0.7518059306709693,0.7517297869307897
1,8,16,50,0.0001,60213.368852098014,60721.43312198374,60605.390602868305,0.7262412083728562,0.7316850346008326,0.7311808730176409
1,8,16,50,0.001,59091.8804293396,60268.54316546139,59956.58643913381,0.7363438877513389,0.7356725553097322,0.7369056905194554
1,8,16,50,0.01,58441.511071827015,59067.2986692685,58699.6459943719,0.7421155852663652,0.7461044497115872,0.7478211723850354
1,8,16,100,1e-05,55730.184035004706,57329.7070846214,56163.6713790365,0.7654890221636481,0.7608225034166956,0.7691400292698718
1,8,16,100,0.0001,56781.635694885095,57847.886811191274,57623.49156819307,0.7565565908992986,0.7564793088088917,0.7569829207891388
1,8,16,100,0.001,57527.383972209944,57864.392293736855,57767.42491642166,0.7501200137050513,0.7563403236129869,0.7557673767216797
1,8,16,100,0.01,57931.97621195284,58528.1604389728,58320.96603381038,0.7465928231878487,0.7507181730760626,0.7510643620360021
1,8,32,10,1e-05,69285.28219619274,69887.4243582652,68861.316266013,0.6375365636536829,0.6445660232404733,0.652952998152482
1,8,32,10,0.0001,67889.44908592274,67765.66658250213,67666.60144417609,0.6519939516742008,0.665820119365883,0.6648907727714626
1,8,32,10,0.001,71240.0984420838,71100.06374402963,70634.50437988243,0.6167949312511398,0.6321245126665467,0.6348498683775745
1,8,32,10,0.01,68664.48545500735,69867.19597046378,69005.26614501726,0.6440028156416716,0.6447717488301874,0.6515005254762172
1,8,32,20,1e-05,63807.84838231314,64489.4032930015,64034.72231197198,0.6925811994015886,0.6973521540161073,0.6998981185455551
1,8,32,20,0.0001,64841.134848061505,65570.65921343483,65018.71351694558,0.6825440746462106,0.6871184388036,0.6906042089173863
1,8,32,20,0.001,62831.80061100289,63474.29032117976,62828.861770186435,0.7019142365699791,0.7068049876615035,0.7110943461419932
1,8,32,20,0.01,64237.110995699295,65367.377863867216,64094.51888332042,0.6884310113561155,0.6890554147675425,0.6993373776974356
1,8,32,50,1e-05,59939.17436787091,61656.827412019775,61150.36512663705,0.7287287703221668,0.7233547495876922,0.7263245970510599
1,8,32,50,0.0001,61218.90394207652,61891.48638512196,62159.52877797822,0.7170215765679651,0.7212449808217605,0.7172171389769337
1,8,32,50,0.001,60204.07655053983,61132.79301560273,60874.81797364914,0.7263256963530972,0.7280372984843975,0.7287854352140977
1,8,32,50,0.01,60773.3452213993,61812.695464156874,61702.89771604383,0.7211256905131618,0.721954266888143,0.7213565894565055
1,8,32,100,1e-05,56707.252143242826,58212.93761281138,57185.69646154549,0.7571939915085726,0.7533961220804833,0.7606615431433075
1,8,32,100,0.0001,58155.32067652204,59344.596232253956,58683.01309792443,0.7446351413348142,0.7437149760153561,0.7479640649013912
1,8,32,100,0.001,58179.486332573375,58584.935335172406,58033.572144561775,0.7444228704223552,0.750234309778992,0.7535117257323607
1,8,32,100,0.01,57765.686117986974,58627.6315554713,58538.040518100825,0.748045513987384,0.7498701227466715,0.7492078035931364
1,8,64,10,1e-05,70794.82592632387,71571.92924939806,71366.00643447357,0.6215702597982754,0.6272253954715046,0.627247601454161
1,8,64,10,0.0001,67459.4705769264,67689.38682993555,67870.51677643022,0.6563881916043914,0.6665720284950041,0.6628680061157263
1,8,64,10,0.001,71049.06564499425,71520.93377444574,71322.51653416666,0.6188473311556904,0.6277564149898155,0.6277017679696338
1,8,64,10,0.01,71697.963194875,72212.99953201292,71478.54300250737,0.6118533342631333,0.6205175989166869,0.626071093149134
1,8,64,20,1e-05,70172.09553383215,69849.1165086318,69393.9943191685,0.6281985192626399,0.6449555691358089,0.6475630537790793
1,8,64,20,0.0001,65583.19279341801,66224.50907069042,66203.29059721559,0.6752364093247013,0.6808474158202222,0.6792277356956138
1,8,64,20,0.001,70886.58039698795,71115.45629187684,70861.06353036268,0.6205886874482507,0.63196521171271,0.6325036842019204
1,8,64,20,0.01,66005.22937169696,67070.97398415563,66708.88048073172,0.6710431666605303,0.6726366197814962,0.6743095968567532
1,8,64,50,1e-05,62525.76543269059,62995.05296574474,63393.566373227375,0.7048109406114245,0.7112155787596861,0.7058776503081715
1,8,64,50,0.0001,64954.859860363526,65218.40180042211,65030.85268544441,0.6814295247733295,0.690471121348384,0.6904886680816085
1,8,64,50,0.001,63849.171662775705,64588.14898473078,64497.3915146946,0.6921828889372643,0.6964246202090043,0.6955458077645833
1,8,64,50,0.01,62354.53831997109,63504.96853619664,62816.294335885235,0.7064254802174315,0.706521506799211,0.7112099121285005
1,8,64,100,1e-05,59993.176028337395,60833.572258812,60958.6996407467,0.72823975137988,0.7306930819873328,0.7280374870615188
1,8,64,100,0.0001,59370.03258189781,59984.76440020933,59541.36320246048,0.7338559277727018,0.7381559045245811,0.7405371379385778
1,8,64,100,0.001,59906.462942262195,60436.37719721287,60189.55624259766,0.7290247786462272,0.7341983231818711,0.7348571379052836
1,8,64,100,0.01,60764.7544786234,61478.37955255305,61823.85039749366,0.7212045266583058,0.7249537716568075,0.7202631010910083
1,16,16,10,1e-05,62933.550012385684,63939.400992500734,63762.39188124873,0.700948018641036,0.702492446313683,0.7024452706340628
1,16,16,10,0.0001,62227.322789956415,63383.4850552597,62916.871853667675,0.7076221578380238,0.7076432674516553,0.7102843865572765
1,16,16,10,0.001,61904.54627120345,62772.56652963647,62747.916940321345,0.710647450897594,0.7132518388544948,0.7118382830580696
